vendorID,lpepPickupDatetime,passengerCount,tripDistance,pickupLongitude,pickupLatitude,dropoffLongitude,dropoffLatitude,totalAmount
2,1420162077,1,2.49,-73.9088974,40.68148041,-73.93379974,40.68892288,11.3
2,1420161942,1,6.63,-73.91830444,40.76548767,-73.95237732,40.70993042,21.8
2,1420162591,1,1.3,-73.93458557,40.69568253,-73.95040894,40.69368362,7.8
2,1420161701,1,7.45,-73.9177475,40.74338531,-73.98143005,40.67914581,28.8
2,1420162407,1,4.3,-73.94107056,40.7220459,-73.88483429,40.7526207,15.3
2,1420162106,1,3.9,-73.94831848,40.70745087,-73.97952271,40.68276978,15.5
2,1420162838,5,0.67,-73.95769501,40.71781158,-73.95183563,40.72537613,6.2
2,1420162774,1,0.51,-73.94889832,40.81526184,-73.94535828,40.81851578,5.8
2,1420162462,1,3.08,-73.94412231,40.81460571,-73.91053009,40.83745575,12.8
2,1420162723,1,1.17,-73.91511536,40.76381683,-73.9315567,40.7651062,7.8
2,1420163020,1,0.38,-73.94866943,40.78595734,-73.94804382,40.78991318,4.8
2,1420161919,2,12.02,-73.90358734,40.7451973,-73.98136139,40.66082764,45
2,1420162938,1,0.97,-73.88361359,40.74334717,-73.88069916,40.73400497,6.3
2,1420162596,1,6.08,-73.95236206,40.80325699,-73.90317535,40.87572098,19.8
2,1420160977,1,12.66,-73.98526001,40.66860962,-73.95186615,40.73547745,40.8
2,1420162537,1,3.93,-73.94317627,40.79377747,-73.91518402,40.82797623,14.8
2,1420163155,1,0.59,-73.95574951,40.71404648,-73.94635773,40.71641159,6.2
2,1420163120,3,0.48,-73.94274902,40.66761017,-73.94238281,40.66489029,5.3
2,1420162882,1,2.06,-73.9601593,40.71556854,-73.95723724,40.69060516,10
2,1420162296,1,6.48,-73.94086456,40.81394577,-73.99016571,40.75735474,22.8
2,1420163063,5,0.61,-73.97896576,40.67848969,-73.97845459,40.68397522,5.5
2,1420162389,1,4.66,-73.95766449,40.71792221,-73.99947357,40.7386322,21.2
2,1420163056,1,1.17,-73.8935318,40.87117386,-73.87932587,40.87180328,7.8
2,1420163178,1,1.26,-73.83023071,40.7142601,-73.80896759,40.71975708,7.3
2,1420162983,1,1.78,-73.82984161,40.75965118,-73.84098053,40.78171158,9.8
2,1420162993,1,1.54,-73.91889954,40.7429657,-73.91405487,40.75986099,8.8
2,1420163211,1,0.73,-73.88405609,40.74760818,-73.87540436,40.74607849,6.3
2,1420163097,1,0.96,-73.95735931,40.72220612,-73.94696808,40.72579575,9.55
2,1420162798,1,2.64,-73.94991302,40.72217941,-73.92621613,40.70334244,14.6
2,1420162641,1,2.55,-73.89949036,40.74611664,-73.86843109,40.74721146,13.8
2,1420162431,1,4.38,-73.95140076,40.68951797,-73.98233032,40.72777176,17.8
